,id_visitor,SessionLength,NumSessions,MeanSessionLength,SearchesPerSession,MessagesPerSearch,RequestsPerSearch,requestsentbinary,messagesentbinary,searchbinary
0,0331fa39-455f-4f47-9db2-18ce37ee90e4,14703.0,22,0 days 00:11:08.318181818,0.318181818182,0.0,0.0,0,0,1
1,04862ee0-26d8-4f8b-a69d-9a5821d08021,3297.0,23,0 days 00:02:23.347826086,0.217391304348,0.2,0.0,0,1,1
2,04b8e876-3afc-41cf-aff9-50b64b4e2ae3,32034.0,45,0 days 00:11:51.866666666,0.4,0.722222222222,0.166666666667,1,1,1
3,060a3cd7-a494-4b49-8551-c22c8caacbd7,16125.0,25,0 days 00:10:45.000000000,0.16,2.25,0.25,1,1,1
4,06984869-ca80-40f2-b9ed-09676d178a80,17503.0,35,0 days 00:08:20.085714285,0.142857142857,1.6,0.0,0,1,1
5,07eac4b7-4750-4b5d-b28a-fda177e63639,3762.0,2,0 days 00:31:21.000000000,0.5,1.0,0.0,0,1,1
6,0a02ba2f-e7dc-4242-bde2-def3ea2a59b0,49791.0,85,0 days 00:09:45.776470588,0.305882352941,0.307692307692,0.153846153846,1,1,1
7,0a0c565a-f147-4fa6-955b-ef80374b3dbc,7714.0,13,0 days 00:09:53.384615384,0.0,inf,inf,1,1,0
8,0efe4fb3877e9ff12a05fa4ffe1a9531ff5143ea,7295.0,3,0 days 00:40:31.666666666,0.0,,,0,0,0
9,102add08a1cbe9a8e31231911b6520987aac100b,65.0,1,0 days 00:01:05.000000000,0.0,,,0,0,0
10,11471155-e21a-4b7a-ba2a-ade4bc631a7f,13183.0,25,0 days 00:08:47.320000000,0.12,3.33333333333,0.333333333333,1,1,1
11,1371175144_wwCCVYK9BT4Z5mCp,1435.0,5,0 days 00:04:47.000000000,0.2,0.0,0.0,0,0,1
12,1379147694_YnPRK5kZgEyoimpq,1600.0,3,0 days 00:08:53.333333333,0.333333333333,0.0,0.0,0,0,1
13,1384756536_VtJGMxb6jj/Z5Yrl,500.0,2,0 days 00:04:10.000000000,0.0,,,0,0,0
14,1385529313_X3mFkF+I5m3xa82J,4.0,1,0 days 00:00:04.000000000,0.0,,,0,0,0
15,1387877243_s8/QmUxw28xqrUKs,183.0,1,0 days 00:03:03.000000000,1.0,0.0,0.0,0,0,1
16,1391841583_VgYEDM/F0Wb8uCFC,3373.0,18,0 days 00:03:07.388888888,0.0,,,0,0,0
17,1392950902_uFXwwQ++pXXl9VTd,1074.0,2,0 days 00:08:57.000000000,1.0,0.0,0.0,0,0,1
18,1394319268_NUrIMT78ijJfpnPW,104.0,1,0 days 00:01:44.000000000,0.0,,,0,0,0
19,1394876077_1kvNhvYwFx5mO/ju,4748.0,9,0 days 00:08:47.555555555,0.777777777778,0.0,0.0,0,0,1
20,1394916311_bVrUShme5Ph/rIv9,470.0,1,0 days 00:07:50.000000000,0.0,,,0,0,0
21,1395543835_I1SHGem4BQQmyRlD,1482.0,2,0 days 00:12:21.000000000,1.0,0.0,0.0,0,0,1
22,1396818465_3A6tSa6kwevlhGJ5,168.0,1,0 days 00:02:48.000000000,0.0,,,0,0,0
23,1397542737_tLarsEyYpWonsVi9,1830.0,5,0 days 00:06:06.000000000,0.4,0.0,0.0,0,0,1
24,1398159643_YC6+CxqTvx9xCOhJ,7564.0,6,0 days 00:21:00.666666666,0.833333333333,0.0,0.0,0,0,1
25,1398578493_19OLeFDlbjoKFABc,46.0,5,0 days 00:00:09.200000000,0.0,,,0,0,0
26,1398658204_YiyxsJiHF1NeZH4B,16.0,2,0 days 00:00:08.000000000,0.0,,,0,0,0
27,1399096437_87FFE3/t2sd346iM,1289.0,6,0 days 00:03:34.833333333,0.0,,,0,0,0
28,1400407570_Jb45iQe/2yGSc6My,172.0,1,0 days 00:02:52.000000000,1.0,0.0,0.0,0,0,1
29,1400714052_8FcrLB4WJmk84/iq,198.0,1,0 days 00:03:18.000000000,0.0,,,0,0,0
30,1400819463_plZOSWyKx74R/owT,0.0,1,0 days 00:00:00.000000000,1.0,0.0,0.0,0,0,1
31,1400917768_950x8jytEikdB3RG,1533.0,5,0 days 00:05:06.600000000,0.0,,,0,0,0
32,1400994163_muF8gP9hbVwS9wLo,29.0,1,0 days 00:00:29.000000000,0.0,,,0,0,0
33,1401244881_h2/Az530Ky3F+1E/,222.0,3,0 days 00:01:14.000000000,0.0,,,0,0,0
34,1401339153_7JAZGVeyWNwujJzY,220.0,3,0 days 00:01:13.333333333,0.333333333333,0.0,0.0,0,0,1
35,1401611246_/nQNAbOdclVx/2NX,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
36,1401691402_3cn5E0P7aGbOdLGv,651.0,3,0 days 00:03:37.000000000,0.666666666667,0.0,0.0,0,0,1
37,1401709213_RMGFYUfOraH4Yt43,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
38,1401714003_4w6nEgTDqZZrVhvP,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
